# S photoionisation cross section - reduced to   156points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: barthel2015 10.1103/PhysRevA.91.013406, gibson1986 http://stacks.iop.org/0022-3700/19/i=18/a=013,                                                                                                                                                                                                                                                                                                                                                                                                     
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: Wavelength (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# photoabsorption: Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# photoionisation: Photoionisation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
4.177730E+01 5.529796E-18 5.529796E-18
4.227730E+01 5.674037E-18 5.674037E-18
4.277730E+01 4.836492E-18 4.836492E-18
4.327730E+01 4.242420E-18 4.242420E-18
4.377730E+01 5.675950E-18 5.675950E-18
4.427730E+01 8.034056E-18 8.034056E-18
4.477730E+01 6.019174E-18 6.019174E-18
4.527730E+01 3.747381E-18 3.747381E-18
4.577730E+01 3.700043E-18 3.700043E-18
4.627730E+01 8.218079E-18 8.218079E-18
4.677730E+01 3.629764E-18 3.629764E-18
4.727730E+01 5.793718E-18 5.793718E-18
4.777730E+01 7.115206E-18 7.115206E-18
4.827730E+01 1.069129E-17 1.069129E-17
4.877730E+01 5.344625E-18 5.344625E-18
4.927730E+01 3.568660E-18 3.568660E-18
4.977730E+01 4.413975E-18 4.413975E-18
5.027730E+01 5.296166E-18 5.296166E-18
5.077730E+01 5.959498E-18 5.959498E-18
5.127730E+01 6.431570E-18 6.431570E-18
5.177730E+01 7.033580E-18 7.033580E-18
5.227730E+01 7.644967E-18 7.644967E-18
5.277730E+01 8.207585E-18 8.207585E-18
5.327730E+01 8.623352E-18 8.623352E-18
5.377730E+01 9.213138E-18 9.213138E-18
5.427730E+01 9.784847E-18 9.784847E-18
5.477730E+01 1.015053E-17 1.015053E-17
5.527730E+01 1.073451E-17 1.073451E-17
5.577730E+01 1.126426E-17 1.126426E-17
5.627730E+01 1.160918E-17 1.160918E-17
5.677730E+01 1.215159E-17 1.215159E-17
5.727730E+01 1.283087E-17 1.283087E-17
5.777730E+01 1.322756E-17 1.322756E-17
5.827730E+01 1.370232E-17 1.370232E-17
5.877730E+01 1.396178E-17 1.396178E-17
5.927730E+01 1.470511E-17 1.470511E-17
5.977730E+01 1.512467E-17 1.512467E-17
6.027730E+01 1.563913E-17 1.563913E-17
6.077730E+01 1.592673E-17 1.592673E-17
