# S photoionisation cross section - reduced to    97points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: barthel2015 10.1103/PhysRevA.91.013406, gibson1986 http://stacks.iop.org/0022-3700/19/i=18/a=013,                                                                                                                                                                                                                                                                                                                                                                                                     
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: Wavelength (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# photoabsorption: Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# photoionisation: Photoionisation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
4.207730E+01 5.050510E-18 5.050510E-18
4.287730E+01 4.692978E-18 4.692978E-18
4.367730E+01 5.334751E-18 5.334751E-18
4.447730E+01 7.235128E-18 7.235128E-18
4.527730E+01 3.747381E-18 3.747381E-18
4.607730E+01 6.474050E-18 6.474050E-18
4.687730E+01 3.950248E-18 3.950248E-18
4.767730E+01 7.577393E-18 7.577393E-18
4.847730E+01 1.339597E-17 1.339597E-17
4.927730E+01 3.568660E-18 3.568660E-18
5.007730E+01 4.951780E-18 4.951780E-18
5.087730E+01 6.091652E-18 6.091652E-18
5.167730E+01 6.954755E-18 6.954755E-18
5.247730E+01 7.798434E-18 7.798434E-18
5.327730E+01 8.623352E-18 8.623352E-18
5.407730E+01 9.568016E-18 9.568016E-18
5.487730E+01 1.022055E-17 1.022055E-17
5.567730E+01 1.119637E-17 1.119637E-17
5.647730E+01 1.178782E-17 1.178782E-17
5.727730E+01 1.283087E-17 1.283087E-17
5.807730E+01 1.351956E-17 1.351956E-17
5.887730E+01 1.418699E-17 1.418699E-17
5.967730E+01 1.506547E-17 1.506547E-17
6.047730E+01 1.575496E-17 1.575496E-17
6.127730E+01 1.643167E-17 1.643167E-17
6.207730E+01 1.719168E-17 1.719168E-17
6.287730E+01 1.767083E-17 1.767083E-17
6.367730E+01 1.871664E-17 1.871664E-17
6.447730E+01 2.059919E-17 2.059919E-17
6.527730E+01 1.958570E-17 1.958570E-17
6.607730E+01 2.197862E-17 2.197862E-17
6.687730E+01 2.278180E-17 2.278180E-17
6.767730E+01 2.376899E-17 2.376899E-17
6.847730E+01 2.370267E-17 2.370267E-17
6.927730E+01 1.274071E-17 1.274071E-17
7.007730E+01 2.525783E-17 2.525783E-17
7.087730E+01 2.653606E-17 2.653606E-17
7.167730E+01 2.738952E-17 2.738952E-17
7.247730E+01 2.814043E-17 2.814043E-17
7.327730E+01 2.897164E-17 2.897164E-17
7.407730E+01 2.967216E-17 2.967216E-17
7.487730E+01 3.052294E-17 3.052294E-17
7.567730E+01 3.114038E-17 3.114038E-17
7.647730E+01 3.175607E-17 3.175607E-17
7.727730E+01 3.255268E-17 3.255268E-17
7.807730E+01 3.315230E-17 3.315230E-17
7.887730E+01 3.371703E-17 3.371703E-17
7.967730E+01 3.427572E-17 3.427572E-17
8.047730E+01 3.484172E-17 3.484172E-17
8.127730E+01 3.537979E-17 3.537979E-17
8.207730E+01 3.590287E-17 3.590287E-17
8.287730E+01 3.640114E-17 3.640114E-17
8.367730E+01 3.672244E-17 3.672244E-17
8.447730E+01 3.722466E-17 3.722466E-17
8.527730E+01 3.770751E-17 3.770751E-17
8.607730E+01 3.800536E-17 3.800536E-17
8.687730E+01 3.841978E-17 3.841978E-17
8.767730E+01 3.870846E-17 3.870846E-17
8.847730E+01 3.908035E-17 3.908035E-17
8.927730E+01 3.939550E-17 3.939550E-17
9.007730E+01 3.971758E-17 3.971758E-17
9.087730E+01 4.006485E-17 4.006485E-17
9.167730E+01 4.033557E-17 4.033557E-17
9.247730E+01 5.305726E-17 5.305726E-17
9.327730E+01 6.986146E-17 6.986146E-17
9.407730E+01 8.901903E-17 8.901903E-17
9.487730E+01 5.068290E-17 5.068290E-17
9.567730E+01 4.452975E-17 4.452975E-17
9.647730E+01 5.334500E-17 5.334500E-17
9.727730E+01 2.985592E-17 2.985592E-17
9.807730E+01 3.461605E-17 3.461605E-17
9.887730E+01 3.531501E-17 3.531501E-17
9.967730E+01 1.245759E-16 1.245759E-16
1.004773E+02 2.313255E-17 2.313255E-17
1.012773E+02 2.520186E-17 2.520186E-17
1.020773E+02 2.617986E-17 2.617986E-17
1.028773E+02 1.636181E-17 1.636181E-17
