# Cross sections for SiH+
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photodissociation source: SIH+ P.D. A 1 PI CF. KIRBY & SINGH '83 + REST CH+ SHIFTED
# Lines represented with gaussian of width 1.0 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photodissociation:  cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photodissociation
1.001000e+02 1.850000e-19 1.850000e-19
1.002000e+02 3.700000e-19 3.700000e-19
1.003000e+02 5.550000e-19 5.550000e-19
1.004000e+02 7.400000e-19 7.400000e-19
1.005000e+02 9.250000e-19 9.250000e-19
1.006000e+02 1.110000e-18 1.110000e-18
1.007000e+02 1.295000e-18 1.295000e-18
1.008000e+02 1.480000e-18 1.480000e-18
1.009000e+02 1.665000e-18 1.665000e-18
1.010000e+02 1.850000e-18 1.850000e-18
1.011000e+02 2.035000e-18 2.035000e-18
1.012000e+02 2.220000e-18 2.220000e-18
1.013000e+02 2.405000e-18 2.405000e-18
1.014000e+02 2.590000e-18 2.590000e-18
1.015000e+02 2.775000e-18 2.775000e-18
1.016000e+02 2.960000e-18 2.960000e-18
1.017000e+02 3.145000e-18 3.145000e-18
1.018000e+02 3.330000e-18 3.330000e-18
1.019000e+02 3.515000e-18 3.515000e-18
1.020000e+02 3.700000e-18 3.700000e-18
1.021000e+02 3.885000e-18 3.885000e-18
1.022000e+02 4.070000e-18 4.070000e-18
1.023000e+02 4.255000e-18 4.255000e-18
1.024000e+02 4.440000e-18 4.440000e-18
1.025000e+02 4.625000e-18 4.625000e-18
1.026000e+02 4.810000e-18 4.810000e-18
1.027000e+02 4.995000e-18 4.995000e-18
1.028000e+02 5.180000e-18 5.180000e-18
1.029000e+02 5.365000e-18 5.365000e-18
1.030000e+02 5.550000e-18 5.550000e-18
1.031000e+02 5.735000e-18 5.735000e-18
1.032000e+02 5.920000e-18 5.920000e-18
1.033000e+02 6.105000e-18 6.105000e-18
1.034000e+02 6.290000e-18 6.290000e-18
1.035000e+02 6.475000e-18 6.475000e-18
1.036000e+02 6.660000e-18 6.660000e-18
1.037000e+02 6.845000e-18 6.845000e-18
1.038000e+02 7.030000e-18 7.030000e-18
1.039000e+02 7.215000e-18 7.215000e-18
1.040000e+02 7.400000e-18 7.400000e-18
1.041000e+02 7.585000e-18 7.585000e-18
1.042000e+02 7.770000e-18 7.770000e-18
1.043000e+02 7.955000e-18 7.955000e-18
1.044000e+02 8.140000e-18 8.140000e-18
1.045000e+02 8.325000e-18 8.325000e-18
1.046000e+02 8.510000e-18 8.510000e-18
1.047000e+02 8.695000e-18 8.695000e-18
1.048000e+02 8.880000e-18 8.880000e-18
1.049000e+02 9.065000e-18 9.065000e-18
1.050000e+02 9.250000e-18 9.250000e-18
1.051000e+02 9.435000e-18 9.435000e-18
1.052000e+02 9.620000e-18 9.620000e-18
1.053000e+02 9.805000e-18 9.805000e-18
1.054000e+02 9.990000e-18 9.990000e-18
1.055000e+02 1.017500e-17 1.017500e-17
1.056000e+02 1.036000e-17 1.036000e-17
1.057000e+02 1.054500e-17 1.054500e-17
1.058000e+02 1.073000e-17 1.073000e-17
1.059000e+02 1.091500e-17 1.091500e-17
1.060000e+02 1.110000e-17 1.110000e-17
1.061000e+02 1.128500e-17 1.128500e-17
1.062000e+02 1.147000e-17 1.147000e-17
1.063000e+02 1.165500e-17 1.165500e-17
1.064000e+02 1.184000e-17 1.184000e-17
1.065000e+02 1.202500e-17 1.202500e-17
1.066000e+02 1.221000e-17 1.221000e-17
1.067000e+02 1.239500e-17 1.239500e-17
1.068000e+02 1.258000e-17 1.258000e-17
1.069000e+02 1.276500e-17 1.276500e-17
1.070000e+02 1.295000e-17 1.295000e-17
1.071000e+02 1.313500e-17 1.313500e-17
1.072000e+02 1.332000e-17 1.332000e-17
1.073000e+02 1.350500e-17 1.350500e-17
1.074000e+02 1.369000e-17 1.369000e-17
1.075000e+02 1.387500e-17 1.387500e-17
1.076000e+02 1.406000e-17 1.406000e-17
1.077000e+02 1.424500e-17 1.424500e-17
1.078000e+02 1.443000e-17 1.443000e-17
1.079000e+02 1.461500e-17 1.461500e-17
1.080000e+02 1.480000e-17 1.480000e-17
1.081000e+02 1.498500e-17 1.498500e-17
1.082000e+02 1.517000e-17 1.517000e-17
1.083000e+02 1.535500e-17 1.535500e-17
1.084000e+02 1.554000e-17 1.554000e-17
