# Cross sections for SiO - reduced to    99points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24                                                                                                                                                                                                                                                                                                                                                                                                                                    
# Photodissociation source: SIO cf. states Herzberg + osc. strengths van Hemert                                                                                                                                                                                                                                                                                                                                                                                                                                     
# Lines represented with gaussian of width 1.0 nm FWHM                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# wavelength: (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# photoabsorption:    cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
# photodissociation:  cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photodissociation                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
9.160000E+01 5.000000E-20 5.000000E-20
9.210000E+01 5.000000E-20 5.000000E-20
9.260000E+01 5.000000E-20 5.000000E-20
9.310000E+01 5.000000E-20 5.000000E-20
9.360000E+01 5.000000E-20 5.000000E-20
9.410000E+01 5.000000E-20 5.000000E-20
9.460000E+01 5.000000E-20 5.000000E-20
9.510000E+01 5.000000E-20 5.000000E-20
9.560000E+01 5.000000E-20 5.000000E-20
9.610000E+01 5.000000E-20 5.000000E-20
9.660000E+01 5.000000E-20 5.000000E-20
9.710000E+01 5.000000E-20 5.000000E-20
9.760000E+01 5.000000E-20 5.000000E-20
9.810000E+01 5.000000E-20 5.000000E-20
9.860000E+01 5.000000E-20 5.000000E-20
9.910000E+01 5.000000E-20 5.000000E-20
9.960000E+01 1.669703E-19 1.669703E-19
1.001000E+02 5.343050E-18 5.343050E-18
1.006000E+02 4.274440E-17 4.274440E-17
1.011000E+02 8.548879E-17 8.548879E-17
1.016000E+02 4.274440E-17 4.274440E-17
1.021000E+02 5.343050E-18 5.343050E-18
1.026000E+02 1.669703E-19 1.669703E-19
1.031000E+02 5.000000E-20 5.000000E-20
1.036000E+02 5.000000E-20 5.000000E-20
1.041000E+02 5.000000E-20 5.000000E-20
1.046000E+02 1.750435E-18 1.750435E-18
1.051000E+02 2.581165E-17 2.581165E-17
1.056000E+02 1.098020E-16 1.098020E-16
1.061000E+02 1.649558E-16 1.649558E-16
1.066000E+02 9.628864E-17 9.628864E-17
1.071000E+02 1.838172E-17 1.838172E-17
1.076000E+02 9.651218E-19 9.651218E-19
1.081000E+02 5.000000E-20 5.000000E-20
1.086000E+02 5.000000E-20 5.000000E-20
1.091000E+02 5.000000E-20 5.000000E-20
1.096000E+02 5.000000E-20 5.000000E-20
1.101000E+02 5.000000E-20 5.000000E-20
1.106000E+02 5.000000E-20 5.000000E-20
1.111000E+02 5.000000E-20 5.000000E-20
1.116000E+02 5.000000E-20 5.000000E-20
1.121000E+02 5.000000E-20 5.000000E-20
1.126000E+02 1.435029E-19 1.435029E-19
1.131000E+02 3.480155E-18 3.480155E-18
1.136000E+02 2.109972E-17 2.109972E-17
1.141000E+02 3.198119E-17 3.198119E-17
1.146000E+02 1.211861E-17 1.211861E-17
1.151000E+02 1.148023E-18 1.148023E-18
1.156000E+02 5.000000E-20 5.000000E-20
1.161000E+02 5.000000E-20 5.000000E-20
1.166000E+02 5.000000E-20 5.000000E-20
1.171000E+02 5.000000E-20 5.000000E-20
1.176000E+02 5.000000E-20 5.000000E-20
1.181000E+02 5.000000E-20 5.000000E-20
1.186000E+02 5.000000E-20 5.000000E-20
1.191000E+02 5.000000E-20 5.000000E-20
1.196000E+02 5.000000E-20 5.000000E-20
1.201000E+02 5.000000E-20 5.000000E-20
1.206000E+02 5.000000E-20 5.000000E-20
1.211000E+02 5.000000E-20 5.000000E-20
1.216000E+02 5.000000E-20 5.000000E-20
1.221000E+02 5.000000E-20 5.000000E-20
1.226000E+02 5.000000E-20 5.000000E-20
1.231000E+02 5.000000E-20 5.000000E-20
1.236000E+02 5.000000E-20 5.000000E-20
1.241000E+02 5.000000E-20 5.000000E-20
1.246000E+02 5.000000E-20 5.000000E-20
1.251000E+02 5.000000E-20 5.000000E-20
1.256000E+02 5.000000E-20 5.000000E-20
1.261000E+02 5.000000E-20 5.000000E-20
1.266000E+02 5.000000E-20 5.000000E-20
1.271000E+02 5.000000E-20 5.000000E-20
1.276000E+02 5.000000E-20 5.000000E-20
1.281000E+02 5.000000E-20 5.000000E-20
1.286000E+02 5.000000E-20 5.000000E-20
1.291000E+02 5.000000E-20 5.000000E-20
1.296000E+02 5.000000E-20 5.000000E-20
1.301000E+02 5.000000E-20 5.000000E-20
1.306000E+02 5.000000E-20 5.000000E-20
1.311000E+02 5.000000E-20 5.000000E-20
1.316000E+02 5.000000E-20 5.000000E-20
1.321000E+02 5.000000E-20 5.000000E-20
1.326000E+02 5.000000E-20 5.000000E-20
1.331000E+02 5.000000E-20 5.000000E-20
1.336000E+02 5.000000E-20 5.000000E-20
1.341000E+02 5.000000E-20 5.000000E-20
1.346000E+02 5.000000E-20 5.000000E-20
1.351000E+02 5.000000E-20 5.000000E-20
1.356000E+02 5.000000E-20 5.000000E-20
1.361000E+02 1.680176E-19 1.680176E-19
1.366000E+02 9.361141E-18 9.361141E-18
1.371000E+02 1.303895E-16 1.303895E-16
1.376000E+02 4.540428E-16 4.540428E-16
1.381000E+02 3.952672E-16 3.952672E-16
1.386000E+02 8.602502E-17 8.602502E-17
1.391000E+02 4.680570E-18 4.680570E-18
1.396000E+02 6.366677E-20 6.366677E-20
1.401000E+02 5.000000E-20 5.000000E-20
1.406000E+02 5.000000E-20 5.000000E-20
