# Si photoionisation cross section
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: mendoza1996 http://stacks.iop.org/1402-4896/1996/i=T65/a=030, huebner2015 10.1016/j.pss.2014.11.022,
# no info on lines
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).
# wavelength photoabsorption photoionisation
1.394130e+01 1.501000e-20 1.501000e-20
1.404130e+01 1.533670e-20 1.533670e-20
1.414130e+01 1.566341e-20 1.566341e-20
1.424130e+01 1.599338e-20 1.599338e-20
1.434130e+01 1.633785e-20 1.633785e-20
1.444130e+01 1.668232e-20 1.668232e-20
1.454130e+01 1.703105e-20 1.703105e-20
1.464130e+01 1.738929e-20 1.738929e-20
1.474130e+01 1.774753e-20 1.774753e-20
1.484130e+01 1.811070e-20 1.811070e-20
1.494130e+01 1.848194e-20 1.848194e-20
1.504130e+01 1.885317e-20 1.885317e-20
1.514130e+01 1.923045e-20 1.923045e-20
1.524130e+01 1.961721e-20 1.961721e-20
1.534130e+01 2.000397e-20 2.000397e-20
1.544130e+01 2.039572e-20 2.039572e-20
1.554130e+01 2.079726e-20 2.079726e-20
1.564130e+01 2.119881e-20 2.119881e-20
1.574130e+01 2.160425e-20 2.160425e-20
1.584130e+01 2.202315e-20 2.202315e-20
1.594130e+01 2.244205e-20 2.244205e-20
1.604130e+01 2.286176e-20 2.286176e-20
1.614130e+01 2.329694e-20 2.329694e-20
1.624130e+01 2.373213e-20 2.373213e-20
1.634130e+01 2.416731e-20 2.416731e-20
1.644130e+01 2.461762e-20 2.461762e-20
1.654130e+01 2.507148e-20 2.507148e-20
1.664130e+01 2.552534e-20 2.552534e-20
1.674130e+01 2.598812e-20 2.598812e-20
1.684130e+01 2.645965e-20 2.645965e-20
1.694130e+01 2.693118e-20 2.693118e-20
1.704130e+01 2.740536e-20 2.740536e-20
1.714130e+01 2.789678e-20 2.789678e-20
1.724130e+01 2.838820e-20 2.838820e-20
1.734130e+01 2.887962e-20 2.887962e-20
1.744130e+01 2.938590e-20 2.938590e-20
1.754130e+01 2.989872e-20 2.989872e-20
1.764130e+01 3.041154e-20 3.041154e-20
1.774130e+01 3.092765e-20 3.092765e-20
1.784130e+01 3.145838e-20 3.145838e-20
1.794130e+01 3.198911e-20 3.198911e-20
1.804130e+01 3.251983e-20 3.251983e-20
1.814130e+01 3.306565e-20 3.306565e-20
1.824130e+01 3.362136e-20 3.362136e-20
1.834130e+01 3.417706e-20 3.417706e-20
1.844130e+01 3.473277e-20 3.473277e-20
1.854130e+01 3.530875e-20 3.530875e-20
1.864130e+01 3.588578e-20 3.588578e-20
1.874130e+01 3.646280e-20 3.646280e-20
1.884130e+01 3.704493e-20 3.704493e-20
1.894130e+01 3.764461e-20 3.764461e-20
1.904130e+01 3.824430e-20 3.824430e-20
1.914130e+01 3.884398e-20 3.884398e-20
1.924130e+01 3.945397e-20 3.945397e-20
1.934130e+01 4.007800e-20 4.007800e-20
1.944130e+01 4.070203e-20 4.070203e-20
1.954130e+01 4.132606e-20 4.132606e-20
1.964130e+01 4.196534e-20 4.196534e-20
1.974130e+01 4.261735e-20 4.261735e-20
1.984130e+01 4.326936e-20 4.326936e-20
1.994130e+01 4.392137e-20 4.392137e-20
2.004130e+01 4.458763e-20 4.458763e-20
2.014130e+01 4.526388e-20 4.526388e-20
2.024130e+01 4.594012e-20 4.594012e-20
2.034130e+01 4.661637e-20 4.661637e-20
2.044130e+01 4.730803e-20 4.730803e-20
2.054130e+01 4.801225e-20 4.801225e-20
2.064130e+01 4.871648e-20 4.871648e-20
2.074130e+01 4.942070e-20 4.942070e-20
2.084130e+01 5.013746e-20 5.013746e-20
2.094130e+01 5.087062e-20 5.087062e-20
2.104130e+01 5.160378e-20 5.160378e-20
2.114130e+01 5.233693e-20 5.233693e-20
2.124130e+01 5.307696e-20 5.307696e-20
2.134130e+01 5.383973e-20 5.383973e-20
2.144130e+01 5.460251e-20 5.460251e-20
2.154130e+01 5.536528e-20 5.536528e-20
2.164130e+01 5.612805e-20 5.612805e-20
2.174130e+01 5.692202e-20 5.692202e-20
2.184130e+01 5.771782e-20 5.771782e-20
2.194130e+01 5.851361e-20 5.851361e-20
2.204130e+01 5.930940e-20 5.930940e-20
2.214130e+01 6.012314e-20 6.012314e-20
2.224130e+01 6.095031e-20 6.095031e-20
2.234130e+01 6.177748e-20 6.177748e-20
2.244130e+01 6.260465e-20 6.260465e-20
2.254130e+01 6.343537e-20 6.343537e-20
2.264130e+01 6.429452e-20 6.429452e-20
