# Si photoionisation cross section - reduced to   106points
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/                                                                                                                                                                                                                                                                                                                                                            
# File last modified by Alan Heays 2017-03-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# references: mendoza1996 http://stacks.iop.org/1402-4896/1996/i=T65/a=030, huebner2015 10.1016/j.pss.2014.11.022,                                                                                                                                                                                                                                                                                                                                                                                                  
# no info on lines                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# wavelength: Wavelength (nm)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# photoabsorption: Photoabsorption cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# photoionisation: Photoionisation cross section (cm2)                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# This version has been resampled to a uniform 0.1nm grid while maintaining a constant integrated cross section (using trapezoidal integration).                                                                                                                                                                                                                                                                                                                                                                    
# wavelength photoabsorption photoionisation                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
1.514130E+01 1.923045E-20 1.923045E-20
1.644130E+01 2.461762E-20 2.461762E-20
1.774130E+01 3.092765E-20 3.092765E-20
1.904130E+01 3.824430E-20 3.824430E-20
2.034130E+01 4.661637E-20 4.661637E-20
2.164130E+01 5.612805E-20 5.612805E-20
2.294130E+01 6.687197E-20 6.687197E-20
2.424130E+01 7.890836E-20 7.890836E-20
2.554130E+01 9.229509E-20 9.229509E-20
2.684130E+01 1.071406E-19 1.071406E-19
2.814130E+01 1.233977E-19 1.233977E-19
2.944130E+01 1.413852E-19 1.413852E-19
3.074130E+01 1.609368E-19 1.609368E-19
3.204130E+01 1.822065E-19 1.822065E-19
3.334130E+01 2.053142E-19 2.053142E-19
3.464130E+01 2.302966E-19 2.302966E-19
3.594130E+01 2.572132E-19 2.572132E-19
3.724130E+01 2.860352E-19 2.860352E-19
3.854130E+01 3.170697E-19 3.170697E-19
3.984130E+01 3.502974E-19 3.502974E-19
4.114130E+01 3.857214E-19 3.857214E-19
4.244130E+01 4.234580E-19 4.234580E-19
4.374130E+01 4.635408E-19 4.635408E-19
4.504130E+01 5.061805E-19 5.061805E-19
4.634130E+01 5.511760E-19 5.511760E-19
4.764130E+01 5.989742E-19 5.989742E-19
4.894130E+01 6.493260E-19 6.493260E-19
5.024130E+01 7.024334E-19 7.024334E-19
5.154130E+01 7.584670E-19 7.584670E-19
5.284130E+01 8.173088E-19 8.173088E-19
5.414130E+01 8.790067E-19 8.790067E-19
5.544130E+01 9.437610E-19 9.437610E-19
5.674130E+01 1.012210E-18 1.012210E-18
5.804130E+01 1.083330E-18 1.083330E-18
5.934130E+01 1.157405E-18 1.157405E-18
6.064130E+01 1.235262E-18 1.235262E-18
6.194130E+01 1.316564E-18 1.316564E-18
6.324130E+01 1.401022E-18 1.401022E-18
6.454130E+01 1.489193E-18 1.489193E-18
6.584130E+01 1.771761E-18 1.771761E-18
6.714130E+01 1.888276E-18 1.888276E-18
6.844130E+01 2.051550E-18 2.051550E-18
6.974130E+01 2.573143E-18 2.573143E-18
7.104130E+01 3.307331E-18 3.307331E-18
7.234130E+01 3.629885E-18 3.629885E-18
7.364130E+01 3.494239E-18 3.494239E-18
7.494130E+01 2.712228E-18 2.712228E-18
7.624130E+01 6.075239E-18 6.075239E-18
7.754130E+01 5.945114E-18 5.945114E-18
7.884130E+01 3.646280E-18 3.646280E-18
8.014130E+01 6.637098E-18 6.637098E-18
8.144130E+01 7.564183E-18 7.564183E-18
8.274130E+01 8.116475E-18 8.116475E-18
8.404130E+01 8.791750E-18 8.791750E-18
8.534130E+01 9.530243E-18 9.530243E-18
8.664130E+01 1.025259E-17 1.025259E-17
8.794130E+01 1.106371E-17 1.106371E-17
8.924130E+01 1.184553E-17 1.184553E-17
9.054130E+01 1.262492E-17 1.262492E-17
9.184130E+01 1.340430E-17 1.340430E-17
9.314130E+01 1.561231E-17 1.561231E-17
9.444130E+01 1.614268E-17 1.614268E-17
9.574130E+01 1.448637E-17 1.448637E-17
9.704130E+01 1.180052E-17 1.180052E-17
9.834130E+01 2.384065E-17 2.384065E-17
9.964130E+01 1.891587E-17 1.891587E-17
1.009413E+02 2.907697E-17 2.907697E-17
1.022413E+02 1.020810E-17 1.020810E-17
1.035413E+02 1.975407E-17 1.975407E-17
1.048413E+02 2.361890E-17 2.361890E-17
1.061413E+02 2.748373E-17 2.748373E-17
1.074413E+02 3.484042E-17 3.484042E-17
1.087413E+02 2.382615E-17 2.382615E-17
1.100413E+02 5.165092E-18 5.165092E-18
1.113413E+02 1.323013E-17 1.323013E-17
1.126413E+02 1.995415E-17 1.995415E-17
1.139413E+02 2.370398E-17 2.370398E-17
1.152413E+02 2.643098E-17 2.643098E-17
1.165413E+02 2.842612E-17 2.842612E-17
1.178413E+02 3.042126E-17 3.042126E-17
1.191413E+02 3.241639E-17 3.241639E-17
1.204413E+02 3.441153E-17 3.441153E-17
1.217413E+02 3.640667E-17 3.640667E-17
1.230413E+02 3.840181E-17 3.840181E-17
1.243413E+02 4.039695E-17 4.039695E-17
1.256413E+02 4.239208E-17 4.239208E-17
1.269413E+02 4.438722E-17 4.438722E-17
1.282413E+02 4.638236E-17 4.638236E-17
1.295413E+02 4.837750E-17 4.837750E-17
1.308413E+02 5.037264E-17 5.037264E-17
1.321413E+02 5.236778E-17 5.236778E-17
1.334413E+02 5.436291E-17 5.436291E-17
1.347413E+02 5.629342E-17 5.629342E-17
1.360413E+02 5.752118E-17 5.752118E-17
1.373413E+02 5.874895E-17 5.874895E-17
1.386413E+02 5.997672E-17 5.997672E-17
1.399413E+02 6.120449E-17 6.120449E-17
1.412413E+02 6.243226E-17 6.243226E-17
1.425413E+02 6.366003E-17 6.366003E-17
1.438413E+02 6.488780E-17 6.488780E-17
1.451413E+02 6.611557E-17 6.611557E-17
1.464413E+02 6.734333E-17 6.734333E-17
1.477413E+02 6.817000E-17 6.817000E-17
1.490413E+02 6.817000E-17 6.817000E-17
1.503413E+02 6.817000E-17 6.817000E-17
1.516413E+02 6.817000E-17 6.817000E-17
