! NCO            f(NCO)
1.000e+10        1.000e+00
1.000e+12        9.990e-01
1.650e+12        9.981e-01
2.995e+12        9.961e-01
5.979e+12        9.912e-01
1.313e+13        9.815e-01
3.172e+13        9.601e-01
8.429e+13        9.113e-01
2.464e+14        8.094e-01
7.923e+14        6.284e-01
1.670e+15        4.808e-01
2.595e+15        3.889e-01
4.435e+15        2.827e-01
6.008e+15        2.293e-01
8.952e+15        1.695e-01
1.334e+16        1.224e-01
1.661e+16        1.017e-01
2.274e+16        7.764e-02
3.115e+16        5.931e-02
4.266e+16        4.546e-02
5.843e+16        3.506e-02
8.002e+16        2.728e-02
1.096e+17        2.143e-02
1.501e+17        1.700e-02
2.055e+17        1.360e-02
2.815e+17        1.094e-02
4.241e+17        8.273e-03
6.389e+17        6.283e-03
9.625e+17        4.773e-03
1.450e+18        3.611e-03
2.184e+18        2.704e-03
3.291e+18        1.986e-03
4.124e+18        1.657e-03
6.685e+18        1.258e-03
7.838e+18        9.332e-04
1.080e+19        6.745e-04
1.285e+19        5.596e-04
1.681e+19        4.123e-04
2.199e+19        2.982e-04
2.538e+19        2.490e-04
3.222e+19        1.827e-04
4.091e+19        1.324e-04
5.193e+19        9.473e-05
5.893e+19        7.891e-05
7.356e+19        5.668e-05
8.269e+19        4.732e-05
9.246e+19        3.967e-05
1.031e+20        3.327e-05
1.148e+20        2.788e-05
1.277e+20        2.331e-05
1.419e+20        1.944e-05
1.578e+20        1.619e-05
END
! NH2            f(NH2)
1.000e+10        1.000e+00
2.666e+13        9.999e-01
3.801e+14        9.893e-01
6.634e+15        9.678e-01
8.829e+16        9.465e-01
9.268e+17        9.137e-01
1.007e+18        9.121e-01
2.021e+18        8.966e-01
3.036e+18        8.862e-01
4.051e+18        8.781e-01
5.066e+18        8.716e-01
6.082e+18        8.660e-01
7.097e+18        8.612e-01
8.112e+18        8.569e-01
9.341e+18        8.524e-01
1.014e+19        8.497e-01
2.030e+19        8.262e-01
3.045e+19        8.118e-01
4.061e+19        8.011e-01
5.076e+19        7.921e-01
6.092e+19        7.841e-01
7.107e+19        7.769e-01
8.123e+19        7.702e-01
9.353e+19        7.626e-01
1.015e+20        7.579e-01
2.031e+20        7.094e-01
3.047e+20        6.712E-01
4.062e+20        6.378e-01
5.078e+20        6.074e-01
6.094e+20        5.791e-01
7.109e+20        5.524e-01
8.125e+20        5.271E-01
9.355E+20        4.977E-01
1.016e+21        4.793e-01
2.031e+21        2.837e-01
3.047e+21        1.526e-01
4.063e+21        7.774e-02
5.078e+21        3.952e-02
6.094e+21        2.093e-02
7.110e+21        1.199e-02
8.125e+21        7.666e-03
9.355e+21        5.333e-03
1.016e+22        4.666e-03
END
! Av             f(Av)
0.000e+00        1.000e+00
1.000e-07        1.000e+00
1.000e-06        1.000e+00
1.000e-05        1.000e+00
1.000e-04        9.991e-01
1.000e-03        9.887e-01
1.086e-03        9.877e-01
2.171e-03        9.755e-01
3.257e-03        9.638e-01
4.343e-03        9.524e-01
5.429e-03        9.413e-01
6.514e-03        9.306e-01
7.600e-03        9.202e-01
8.686e-03        9.101e-01
1.000e-02        8.983e-01
1.086e-02        8.908e-01
2.171e-02        8.081e-01
3.257e-02        7.422e-01
4.343e-02        6.875e-01
5.429e-02        6.404e-01
6.514e-02        5.990E-01
7.600e-02        5.620e-01
8.686e-02        5.284e-01
1.000e-01        4.916e-01
1.086e-01        4.696e-01
2.171e-01        2.757e-01
3.257e-01        1.705e-01
4.343e-01        1.084e-01
5.429e-01        7.013e-02
6.514e-01        4.593e-02
7.600e-01        3.037E-02
8.686E-01        2.023E-02
1.000e+00        1.247E-02
1.086e+00        9.130e-03
2.171e+00        2.133e-04
3.257e+00        6.269e-06
4.343e+00        2.108e-07
5.429e+00        7.633e-09
6.514e+00        2.873e-10
7.600e+00        1.102e-11
8.686e+00        4.273e-13
1.000e+01        8.412e-15
1.086e+01        6.510e-16
END
