! NH2            tau_H2
1.000e10         1.000e-00
3.690e11         9.983e-01
3.715e12         9.853e-01
3.948e13         8.761e-01
1.233e14         7.199e-01
2.536e14         5.728e-01
4.342e14         4.455e-01
6.653e14         3.431e-01
6.689e14         3.418e-01
9.075e14         2.732e-01
1.234e15         2.110e-01
1.631e15         1.619e-01
2.105e15         1.236e-01
2.363e15         1.084e-01
2.899e15         8.447e-02
3.207e15         7.410e-02
3.848e15         5.774e-02
4.636e15         4.416e-02
5.547e15         3.390e-02
6.604e15         2.625e-02
7.855e15         2.048e-02
9.368e15         1.606e-02
1.122e16         1.264e-02
1.352e16         9.987e-03
1.643e16         7.937e-03
2.017e16         6.343e-03
2.515e16         5.088e-03
3.190e16         4.089e-03
4.128e16         3.283e-03
5.439e16         2.640e-03
7.315e16         2.130e-03
1.009e17         1.725e-03
1.432e17         1.397e-03
2.092e17         1.129e-03
3.123e17         9.097e-04
4.738e17         7.340e-04
5.388e17         6.883e-04
8.935e17         5.377e-04
1.381e18         4.352e-04
2.164e18         3.475e-04
3.330e18         2.771e-04
5.024e18         2.205e-04
7.404e18         1.753e-04
9.029e18         1.549e-04
1.316e19         1.210e-04
1.813e19         9.666e-05
2.453e19         7.705e-05
3.248e19         6.148e-05
4.216e19         4.904e-05
5.370e19         3.909e-05
6.722e19         3.112e-05
8.277e19         2.473e-05
9.894e19         1.997e-05
1.186e20         1.578e-05
1.404e20         1.244e-05
1.644e20         9.769e-06
1.908e20         7.634e-06
2.197e20         5.932e-06
2.510e20         4.581e-06
2.849e20         3.515e-06
3.214e20         2.679e-06
3.604e20         2.029e-06
4.019e20         1.527e-06
4.456e20         1.144e-06
4.915e20         8.523e-07
5.393e20         6.332e-07
5.886e20         4.693e-07
6.392e20         3.475e-07
6.909e20         2.574e-07
7.433e20         1.907e-07
7.965e20         1.413e-07
8.505e20         1.047e-07
9.056e20         7.739e-08
9.627e20         5.677e-08
1.011e21         4.386e-08
1.068e21         3.227e-08
1.125e21         2.385e-08
1.185e21         1.750e-08
1.250e21         1.248e-08
1.327e21         8.389e-09
1.428e21         5.026e-09
1.578e21         2.382e-09
1.851e21         6.259e-10
2.128e21         1.653e-10
2.298e21         7.399e-11
2.389e21         4.824e-11
2.459e21         3.474e-11
2.519e21         2.633e-11
2.571e21         2.069e-11
2.618e21         1.663e-11
2.707e21         1.099e-11
2.790e21         7.506e-12
2.887e21         4.825e-12
3.001e21         2.864e-12
3.139e21         1.534e-12
3.303e21         7.324e-13
3.497e21         3.087e-13
3.722e21         1.135e-13
3.983e21         3.591e-14
4.283e21         9.689e-15
4.644e21         2.045e-15
5.127e21         2.618e-16
5.945e21         8.918e-18
8.205e21         3.041e-21
1.015e22         1.739e-23
END
